Event.Id,Investigation.Type,Accident.Number,Event.Date,LOCATION,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
2.02102E+13,Accident,ERA21LA125,2021-02-07,"COLUMBIA, SC",United States,34,-80,,,Minor,Substantial,Airplane,N24476,Taylorcraft,BC-65,No,1,,91,,Personal,Dunn Ward A,0,0,1,0,VMC,,,
2.02102E+13,Accident,WPR21LA106,2021-02-05,"THERMAL, CA",United States,33.62,-116.15,KTRM,,Non-Fatal,Substantial,Airplane,N7850K,Jabiru,SP 250,No,,,91,,Personal,,0,0,0,1,,,,
2.02102E+13,Accident,WPR21LA107,2021-02-05,"HORSESHOE BEND, ID",United States,44.00019,-116.13546,,,Siruose,Substantial,Helicopter,N6639R,Hughes,OH-6A,No,1,,PUBU,,Public Aircraft - Federal,Usda Aphis Ws Atoc,0,1,1,0,VMC,,,
2.02102E+13,Accident,ERA21LA126,2021-02-04,"PAHOKEE, FL",United States,26.746586,-80.655618,,,Non-Fatal,Substantial,Helicopter,N820H,Bell,206,No,1,,91,NSCH,Other Work Use,Roma Air Corporation,0,0,0,2,VMC,,,
2.02102E+13,Accident,CEN21LA123,2021-02-03,"WEIDMAN, MI",United States,43.720649,-85.002243,D11,,Non-Fatal,Substantial,Airplane,N26811,Piper,J3,No,,,91,,Personal,Jacobs James A,0,0,0,0,VMC,,,
2.02102E+13,Accident,ERA21LA122,2021-02-02,"LEICESTER, MA",United States,42.276667,71.959444,ORH,Worcester Regional Airport,Minor,Substantial,Airplane,N221ST,Piper,PA46,No,1,,91,,Personal,Forza Management Co,0,0,3,0,VMC,,,
2.02102E+13,Accident,CEN21LA121,2021-02-02,"Hackberry, LA",United States,30.009412,-93.330048,,,Fatal,Destroyed,Airplane,N4765N,Cessna,182Q,No,1,,91,,Inst,D & S Aviation Inc,2,0,0,0,VMC,,,
2.02102E+13,Accident,WPR21LA098,2021-01-31,"CRESCENT CITY, CA",United States,41.84029,-124.172,CEC,,Minor,Substantial,Airplane,N291FR,Cessna,T182T,No,1,,91,,Instructional,"Moreys West Coast Adventures, Inc",0,0,2,0,VMC,,,
2.02102E+13,Accident,CEN21LA119,2021-01-31,"Silt, CO",United States,39.5198,-107.6667,RIL,,Siruose,Destroyed,Airplane,N4376Q,Cessna,172,No,1,,91,,Pers,,0,3,0,0,VMC,,,
2.02101E+13,Accident,ERA21LA121,2021-01-30,"KNOXVILLE, TN",United States,35.801686,-84.145919,,,Non-Fatal,Substantial,Helicopter,N660TN,Robinson Helicopter Co,R66,No,1,,91,,Personal,Wdw Aviation Leasing Inc,0,0,0,1,VMC,,,
2.02101E+13,Incident,ENG21LA013,2021-01-29,"Ontario, CA",United States,34.055977,-117.60139,,,,Minor,Airplane,N363CM,Boeing,767-338,No,2,,129,,,Masair,0,0,0,0,,,,
2.02102E+13,Accident,CEN21LA118,2021-01-28,"DAVENPORT, IA",United States,41.614972,-90.587418,DVN,Davenport,Non-Fatal,Substantial,Airplane,N217US,Beech,300,No,2,,91,,Instructional,Carver Aero,0,0,0,2,VMC,,,
2.02101E+13,Accident,WPR21LA097,2021-01-27,"SALISH SEA, WA",United States,48.285591,-123.6824,,,Fatal,Substantial,Airplane,N9114A,Cessna,170A,No,1,,91,,Personal,,1,0,0,0,VMC,,,
2.02101E+13,Accident,CEN21LA117,2021-01-26,"WALLER, TX",United States,29.992833,-95.930482,37XA,Skydive Houston,Siruose,Substantial,Airplane,N444PZ,Zenair Zodiac,601HDS,Yes,1,,91,NSCH,Personal,,0,1,0,0,VMC,,,
2.02101E+13,Accident,ERA21LA117,2021-01-26,"WEST PALM BEACH, FL",United States,26.593056,-80.085065,LNA,Palm Beach County Park Airport,Non-Fatal,Substantial,Helicopter,N474AT,Robinson,R22,No,1,,91,,Instructional,Palm Beach Helicopters,0,0,0,2,,,,
2.02101E+13,Accident,ERA21LA111,2021-01-25,"BOYNTON BEACH, FL",United States,26.54121,-80.03705,LNA,PALM BEACH COUNTY PARK,Fatal,Substantial,Airplane,N266ND,Piper,PA-28-161,No,1,,91,,Personal,2fly Airborne,1,0,0,0,VMC,,,
2.02101E+13,Accident,ANC21LA012,2021-01-25,"ANCHORAGE, AK",United States,61.210591,-149.8406,,,Non-Fatal,Substantial,Airplane,N4265H,Piper,PA-14,No,1,,91,,Instructional,,0,0,0,3,VMC,,,
2.02101E+13,Accident,WPR21LA096,2021-01-24,"SPOTTED BEAR, MT",United States,47.997177,-113.58001,,,Non-Fatal,Substantial,Airplane,N55BT,Heckel,Super Sportsman,No,,,91,,Personal,,0,0,0,2,VMC,,,
2.02101E+13,Accident,ERA21LA112,2021-01-23,"DENTON, NC",United States,35.705403,-80.048596,,,Non-Fatal,Substantial,Airplane,C-GWAS,Cessna,U206,No,1,,91,,Aerial Observation,,0,0,0,2,,,,
2.02101E+13,Accident,ERA21LA113,2021-01-23,"ROCKINGHAM, NC",United States,34.891796,-79.757152,,,Non-Fatal,Substantial,Airplane,N42714,Cessna,182L,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02101E+13,Accident,ERA21LA114,2021-01-23,"TERRELL, NC",United States,35.6238,-80.9305,,,Minor,Substantial,Airplane,N480F,Aviat,A1,No,1,,91,,Personal,,0,0,1,0,VMC,,,
2.02101E+13,Accident,WPR21LA093,2021-01-22,"QUEEN CREEK, AZ",United States,33.32,-111.48,(AZ3,Rittenhouse Army Heliport,Non-Fatal,Substantial,Helicopter,N90TG,Mcdonnell Douglas Helicopter,369E,No,1,,91,,Personal,,0,0,0,2,VMC,,,
2.02102E+13,Accident,ERA21LA123,2021-01-22,"HOMESTEAD, FL",United States,25.130773,-81.035603,,,Non-Fatal,Substantial,Airplane,N8224H,Piper,PA-32-301,No,1,,91,,Personal,,0,0,0,4,,,,
2.02101E+13,Accident,ERA21LA109,2021-01-21,"MINNEOLA, FL",United States,28.62612,-81.80011,,,Siruose,Substantial,Airplane,N4469Z,Plante,Challenger II,Yes,1,,91,,Personal,,0,1,0,0,VMC,,,
2.02101E+13,Accident,WPR21LA094,2021-01-21,"EAGLE POINT, OR",United States,42.25219,-122.453,,,Minor,Substantial,Airplane,N322TR,Randy Wayne Maloney,M1,No,,,91,,Personal,,0,0,2,0,VMC,,,
2.02101E+13,Accident,ERA21LA106,2021-01-19,"LEESBURG, VA",United States,39.081972,-77.559229,JYO,Leesburg Executive Airport,Non-Fatal,Substantial,Airplane,N5880L,American,AA5,No,1,,91,,Instructional,Aero Elite Flight Training Llc,0,0,0,2,VMC,,,
2.02101E+13,Accident,CEN21LA113,2021-01-19,"NEWELLTON, LA",United States,32.174435,-91.360249,,,Fatal,Substantial,Airplane,N523BB,Air Tractor Inc,AT-802A,No,1,,137,,,Tensas Flying Service Llc,1,0,0,0,VMC,,,
2.02101E+13,Accident,ERA21LA104,2021-01-17,"ST. PETERSBURG, FL",United States,27.766788,-82.770986,,,Non-Fatal,Substantial,Airplane,N82746,Piper,PA28,No,1,,91,,Instructional,St Pete Aviation Services Llc,0,0,0,2,,,,
2.02101E+13,Accident,ERA21LA105,2021-01-17,"RICHMOND HILL, GA",United States,31.9383,-81.3034,,,Non-Fatal,Substantial,Airplane,N919DC,Cessna,177RG,No,,,91,,Personal,,0,0,0,1,VMC,,,
2.02101E+13,Accident,WPR21LA092,2021-01-16,"ELKO, NV",United States,40.934666,-115.60009,,,Minor,Substantial,Airplane,N2828M,Avipro Aircraft Ltd,BEARHAWK,No,,,91,,Personal,,0,0,1,0,VMC,,,
2.02101E+13,Accident,ERA21LA103,2021-01-15,"HOLLYWOOD, FL",United States,26.001222,-80.240722,HWO,NORTH PERRY,Non-Fatal,Substantial,Airplane,N404N,Tl Ultralight Sro,STINGSPORT,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02102E+13,Accident,WPR21LA100,2021-01-14,"KELSO, WA",United States,46.12,-122.9,KLS,SOUTHWEST WASHINGTON RGNL,Non-Fatal,Substantial,Airplane,N5930R,Cessna,172G,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02101E+13,Accident,ERA21LA115,2021-01-14,"Myrtle Beach, SC",United States,34.0104,-78.0584,,,Siruose,,Airplane,N862UP,Beech,300,No,2,,135,NSCH,,Gama Aviation Llc,0,1,0,4,VMC,,,
2.02101E+13,Accident,WPR21LA086,2021-01-13,"SPANISH FORK, UT",United States,40.130849,-111.6879,,,Non-Fatal,Substantial,Helicopter,N7480F,Hughes,269C,No,1,,91,,Instructional,Trike Industries Llc,0,0,0,2,VMC,,,
2.02101E+13,Accident,ERA21LA107,2021-01-13,"PELL CITY, AL",United States,33.581338,-86.241358,PLR,ST CLAIR COUNTY,Non-Fatal,Substantial,Airplane,N771JP,Extra Flugzeugbau Gmbh,EA 300/L,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02101E+13,Accident,ERA21LA101,2021-01-13,"Columbia, SC",United States,33.983683,-81.003004,,,Fatal,Destroyed,Airplane,N266DC,Beech,F33,No,,,91,,Pers,,1,0,0,0,IMC,,,
2.02101E+13,Accident,CEN21LA112,2021-01-12,"SPARTA, MI",United States,43.13002,-85.67238,8D4,Paul C Miller,Non-Fatal,Substantial,Airplane,N35718,Piper,PA-32R-301,No,1,,91,NSCH,Personal,,0,0,0,2,IMC,,,
2.02101E+13,Accident,ERA21LA098,2021-01-10,"OLD BETHPAGE, NY",United States,40.7598,-73.4465,FRG,Republic Airport,Siruose,Substantial,Airplane,N421DP,Cessna,421B,No,2,,91,,Personal,,0,1,0,0,VMC,,,
2.02101E+13,Accident,CEN21LA109,2021-01-09,"ALBANY, TX",United States,32.729096,-99.271909,T23,ALBANY MUNI,Non-Fatal,Substantial,Helicopter,N322SH,Robinson Helicopter,R44 II,No,1,,91,,Other Work Use,S2 Helicopter Services Llc,0,0,0,3,VMC,,,
2.02101E+13,Accident,WPR21LA084,2021-01-09,"WINTHROP, WA",United States,48.47372,-120.17966,S52,Methow Valley State,Non-Fatal,Substantial,Helicopter,N8612F,Hughes,369D,No,1,,91,,Positioning,,0,0,0,2,VMC,,,
2.02101E+13,Accident,CEN21LA110,2021-01-09,"CUSHING, OK",United States,35.939235,-96.820585,PVT,Private,Non-Fatal,Substantial,Airplane,N4540C,Air Tractor Inc,AT-502,No,1,,137,,Aerial Application,Skyler Blue Llc,0,0,0,1,VMC,,,
2.02101E+13,Accident,WPR21LA082,2021-01-09,"Warm Springs, OR",United States,44.996186,-121.13765,,,Fatal,Destroyed,Airplane,N3RB,Cessna,560,No,2,,91,,Pers,,1,0,0,0,VMC,,,
2.02101E+13,Accident,WPR21LA083,2021-01-08,"PALOUSE, WA",United States,46.884969,-117.07687,WN26,SCHOEPFLIN,Minor,Substantial,Airplane,N4344B,Cessna,170B,No,1,,91,,Instructional,,0,0,1,1,VMC,,,
2.02101E+13,Accident,WPR21LA080,2021-01-06,"PALM SPRINGS, CA",United States,33.829722,-116.50666,KPSP,Palm Springs International Air,Siruose,Substantial,Airplane,N737NB,Cessna,172,No,1,,91,,Instructional,,0,1,0,0,VMC,,,
2.02101E+13,Accident,ERA21LA100,2021-01-04,"OBRIEN, FL",United States,30.089803,-83.086307,9FLO,Suwannee Belle Airport,Non-Fatal,Substantial,Airplane,N616PM,Murphy,Rebel,Yes,1,,91,,Personal,,0,0,0,2,VMC,,,
2.02101E+13,Accident,CEN21LA107,2021-01-04,"Cash, AR",United States,35.7068,-90.945032,,,Fatal,Destroyed,Airplane,N325GC,Hawker Beechcraft Corp,G58,No,2,,91,,Pers,,2,0,0,0,VMC,,,
2.02101E+13,Accident,WPR21LA076,2021-01-03,"SANTA MONICA, CA",United States,34.015822,-118.4513,SMO,SANTA MONICA MUNI,Non-Fatal,Substantial,Airplane,N52NL,Extra Flugzeugbau Gmbh,EA 300/L,No,1,,91,,Personal,Marauder Aviation Llc,0,0,0,1,VMC,,,
2.02101E+13,Accident,ERA21LA099,2021-01-03,"PORTSMOUTH, NH",United States,43.077944,-70.823278,KPSM,Portsmouth International,Non-Fatal,Substantial,Airplane,N489RS,Diamond Aircraft Ind Inc,DA 40,No,1,,91,,Instructional,Avier Flight School,0,0,0,2,VMC,,,
2.02101E+13,Accident,WPR21LA078,2021-01-02,"MOAB, UT",United States,38.757499,-109.75354,CNY,CANYONLANDS FLD,Non-Fatal,Substantial,Airplane,N833RT,Cessna,P210N,No,1,,91,,Personal,Nash Llc,0,0,0,4,VMC,,,
2.02101E+13,Accident,CEN21LA104,2021-01-02,"New Hudson, MI",United States,42.509573,-83.623552,Y47,Oakland Southwest,Fatal,Destroyed,Airplane,N8347P,Piper,PA-24-250,No,1,,91,,Pers,,3,0,0,0,IMC,,,
2.02101E+13,Accident,WPR21LA077,2021-01-01,"MARANA, AZ",United States,32.409556,-111.21838,KAVQ,MARANA RGNL,Minor,Substantial,Helicopter,N74823,Bell,47D,No,1,,91,,Instructional,,0,0,1,0,,,,
2.02101E+13,Accident,WPR21LA079,2021-01-01,"RIVERSIDE, UT",United States,41.78007,-112.14178,PRIV,PRIVATE,Non-Fatal,Substantial,Airplane,N1571A,Piper,PA-20-135,No,1,,91,,Personal,,0,0,0,4,VMC,,,
2.02101E+13,Accident,ANC21LA010,2020-12-31,"HOPE, AK",United States,60.90678,-149.62317,5HO,HOPE,Non-Fatal,Substantial,Airplane,N949AF,Cessna,172R,No,1,,91,,Instructional,Elmendorf Air Force Base Aero Club,0,0,0,2,,,,
2.02101E+13,Accident,ERA21LA096,2020-12-30,"TOPPING, VA",United States,37.602493,-76.446681,W75,HUMMEL FIELD,Non-Fatal,Substantial,Airplane,N96540,Taylorcraft,BC12,No,1,,91,,Personal,,0,0,0,2,VMC,,,
2.02101E+13,Accident,ERA21LA097,2020-12-30,"HOLLY RIDGE, NC",United States,34.487113,-77.52707,N21,HOLLY RIDGE/TOPSAIL ISLAND AIR,Non-Fatal,Substantial,Airplane,N728VM,Mooney International Corp,M20TN,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,CEN21LA101,2020-12-29,"ALEXANDRIA, MN",United States,45.865475,-95.394471,KAXN,Chandler Field-Alexandria Muni,Non-Fatal,Substantial,Airplane,N134BA,Beech,65-80-8800,No,,,135,NSCH,,"Bemidji Aviation Services, Inc.",0,0,0,1,,,,
2.02012E+13,Accident,CEN21LA103,2020-12-29,"CYPRESS, TX",United States,30.047197,-95.667653,,,Non-Fatal,Substantial,Airplane,N3702R,Cessna,172H,No,1,,91,NSCH,Personal,Texas Flight Aviation,0,0,0,1,VMC,,,
2.02012E+13,Accident,ERA21LA093,2020-12-29,"WESTFIELD, MA",United States,42.158288,-72.716048,BAF,WESTFIELD-BARNES RGNL,Non-Fatal,Substantial,Airplane,N916MT,Beech,95-B55 (T42A),No,2,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,ERA21LA094,2020-12-29,"STOWE, PA",United States,40.258777,-75.673808,N47,POTTSTOWN MUNI,Non-Fatal,Substantial,Airplane,N6327F,Cessna,182P,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,CEN21LA102,2020-12-29,"Tuckers Crossing, MS",United States,31.611861,-89.086611,,,Fatal,Destroyed,Helicopter,N103SU,Hughes,369D,No,1,,133,,Exld,Signature Property Holdings Llc,1,0,0,0,VMC,,,
2.02012E+13,Accident,WPR21LA075,2020-12-28,"SANTA YNEZ, CA",United States,34.6079,-120.0843,IZA,SANTA YNEZ,Minor,Substantial,Airplane,N5474D,Beech,35,No,1,,91,,Personal,,0,0,3,0,VMC,,,
2.02101E+13,Accident,CEN21LA105,2020-12-28,"NAVASOTA, TX",United States,30.37323,-96.1145,60R,NAVASOTA MUNI,Non-Fatal,Substantial,Airplane,N1236,Piper,PA-30,No,2,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,ERA21LA088,2020-12-27,"CLEVELAND, GA",United States,34.57372,-83.715817,,,Minor,Substantial,Airplane,N5939D,Piper,PA-22-150,No,1,,91,,Personal,,0,0,2,0,VMC,,,
2.02012E+13,Accident,ERA21LA089,2020-12-27,"BUNN, NC",United States,35.961,78.2536,7NC5,Crooked Creek Private Airport,Siruose,Substantial,Glider,N205HL,Glasflugel,CLUB LIBELLE 205,No,0,,91,,Personal,,0,1,0,0,VMC,,,
2.02012E+13,Accident,ERA21LA091,2020-12-27,"PLEASANT VALLEY, NY",United States,41.717864,-73.74979,44N,Sky Acres Airport,Non-Fatal,Substantial,Airplane,N8311X,Cessna,172,No,1,,91,,Instructional,Samantha Muller,0,0,0,1,VMC,,,
2.02012E+13,Accident,WPR21LA074,2020-12-26,"PEORIA, AZ",United States,33.5705,-112.2503,,,Minor,Substantial,Balloon,N6534A,Aerostar International Inc,S-60A,No,0,,91,NSCH,Aerial Observation,Destination Balloons,0,0,3,0,,,,
2.02012E+13,Accident,CEN21LA098,2020-12-26,"WALDRON, MO",United States,39.230667,-94.801305,,,Siruose,Substantial,Airplane,N895BT,Quad City Aircraft Corp,Challenger II,No,1,,91,,Personal,,0,1,0,0,,,,
2.02012E+13,Accident,ERA21LA090,2020-12-26,"LOCUST GROVE, GA",United States,33.364091,-84.168888,GA04,MALLARDS LANDING,Non-Fatal,Substantial,Airplane,N75825,Cessna,172,No,1,,91,,Personal,Patrick Ronald D,0,0,0,2,,,,
2.02012E+13,Accident,CEN21LA100,2020-12-24,"PECATONICA, IL",United States,42.303868,-89.344838,,,Siruose,Substantial,Airplane,N610DJ,Walton Daniel J,SONEX,Yes,1,,91,,Personal,,0,1,0,0,VMC,,,
2.02012E+13,Accident,DCA21LA058,2020-12-23,"Houston, TX",United States,29.816516,-95.442813,,,Siruose,,Airplane,N463UA,Airbus Industrie,A320-232,No,2,,121,SCHD,,United Airlines,0,1,0,139,,,,
2.02012E+13,Accident,ERA21LA092,2020-12-22,"CULPEPER, VA",United States,38.52582,-77.859583,CJR,Culpepper,Non-Fatal,Substantial,Airplane,N505LP,Cessna,172S,No,1,,91,,Personal,Wifa (washington International Flight Academy) Llc,0,0,0,2,VMC,,,
2.02012E+13,Accident,ERA21LA095,2020-12-22,"MADISONVILLE, TN",United States,35.543597,-84.382684,MNV,MONROE COUNTY,Non-Fatal,Substantial,Airplane,N4580C,Cessna,170B,No,1,,91,,Personal,,0,0,0,3,VMC,,,
2.02012E+13,Accident,ERA21LA083,2020-12-21,"FARMINGDALE, NY",United States,40.7268,-73.410425,FRG,REPUBLIC,Siruose,Substantial,Airplane,N412JA,Raytheon,HAWKER,No,2,,91,NSCH,Executive/corporate,Talon Air Jets,0,1,1,0,IMC,,,
2.02012E+13,Accident,ERA21LA085,2020-12-21,"MIDWAY, GA",United States,31.718528,-81.319325,1GA0,EAGLE NECK,Fatal,Substantial,Airplane,N2246S,Cessna,210L,No,1,,91,,Personal,,1,0,0,0,IMC,,,
2.02012E+13,Accident,WPR21LA072,2020-12-21,"LIVERMORE, CA",United States,37.693052,-121.81164,LVK,LIVERMORE MUNI,Non-Fatal,Substantial,Airplane,N4106K,Navion,Navion A,No,,,91,NSCH,Flight Test,,0,0,0,1,VMC,,,
2.02012E+13,Accident,CEN21LA099,2020-12-21,"PEYTON, CO",United States,38.945668,-104.57116,FLY,MEADOW LAKE,Non-Fatal,Substantial,Airplane,N5937G,Cessna,150K,No,1,,91,,Instructional,,0,0,0,1,VMC,,,
2.02012E+13,Accident,CEN21LA096,2020-12-21,"Grand Prairie, TX",United States,32.698778,-97.046917,,,Fatal,Destroyed,Airplane,N772BM,Express,CT,No,1,,91,NSCH,Pers,Frazier John,2,0,0,0,VMC,,,
2.02012E+13,Accident,CEN21LA095,2020-12-20,"MORRIS, IL",United States,41.42475,-88.418667,C09,MORRIS MUNI - JAMES R WASHBURN,Minor,Substantial,Helicopter,N3264U,Robinson Helicopter,R44,No,1,,91,,Personal,,0,0,1,0,VMC,,,
2.02012E+13,Accident,CEN21LA092,2020-12-19,"BURLESON, TX",United States,32.56537,-97.30837,FWS,Fort Worth Spinks Airport,Fatal,Substantial,Airplane,N935EK,Sonex,Tailwheel,Yes,,,91,,Personal,,1,0,0,0,VMC,,,
2.02012E+13,Accident,ERA21LA087,2020-12-19,"NAPLES, FL",United States,26.130762,-81.817956,APF,NAPLES MUNI,Minor,Substantial,Airplane,N662TC,Piper,PA-46-310P,No,1,,91,,Personal,,0,0,2,0,VMC,,,
2.02012E+13,Accident,CEN21LA097,2020-12-18,"ALBION, NE",United States,41.728577,-98.05576,BVN,Albion Municipal Airport,Non-Fatal,Substantial,Airplane,N9590A,Cessna,170,No,1,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,ERA21LA081,2020-12-18,"Tampa, FL",United States,27.955283,-82.52836,TPA,TAMPA INTL,Siruose,Destroyed,Airplane,N6978W,Piper,PA28,No,1,,91,,Inst,,0,3,0,0,VMC,,,
2.02012E+13,Accident,CEN21LA091,2020-12-17,"ALEDO, TX",United States,32.6164,-97.6403,,,Fatal,Substantial,Airplane,N102JK,Extra Flugzeugproduktions-und,EA 300/L,No,1,,91,,Personal,Rockstar Aviation Llc,1,0,0,0,VMC,,,
2.02012E+13,Accident,ERA21LA080,2020-12-17,"Pembroke Pines, FL",United States,25.99468,-80.25662,HWO,North Perry Airport,Siruose,Destroyed,Airplane,N5547Y,Socata,TB10,No,1,,91,,Pers,"Octopus Flying Club, Inc",0,4,0,0,VMC,,,
2.02012E+13,Accident,CEN21LA088,2020-12-16,"PORT ISABEL, TX",United States,26.159381,-97.350071,PIL,,Fatal,Substantial,Airplane,N449JP,Rans,S12XL,Yes,1,,91,NSCH,Instructional,,2,0,0,0,VMC,,,
2.02012E+13,Accident,WPR21LA070,2020-12-16,"HEBER CITY, UT",United States,40.48581,-111.42531,HCR,Heber Valley Airport,Fatal,Substantial,Gyroplane,N261MD,Silverlight Aviation Llc,AR-1,Yes,1,,91,,Personal,,1,0,0,0,VMC,,,
2.02012E+13,Accident,ERA21LA077,2020-12-16,"JACKSONVILLE, FL",United States,30.344503,-81.519576,CRG,Jacksonville Executive Airport,Non-Fatal,Substantial,Airplane,N661EP,Embraer,EMB-500,No,2,,91,,Executive/corporate,Executive Aviation Investors Inc,0,0,0,3,IMC,,,
2.02012E+13,Accident,CEN21LA089,2020-12-16,"Bossier City, LA",United States,32.506187,-93.639911,,,Fatal,Destroyed,Airplane,N55168,Piper,PA28,No,1,,91,,Pers,,2,0,0,0,IMC,,,
2.02012E+13,Accident,ERA21LA078,2020-12-15,"ORLANDO, FL",United States,28.528496,-81.481477,,,Minor,Substantial,Airplane,N5023L,Lake,LA-4-200,No,1,,91,,Personal,Island Hoppers Seaplanes 2 Llc,0,0,1,0,,,,
2.02012E+13,Accident,CEN21LA086,2020-12-14,"LEADVILLE, CO",United States,39.2242,-106.3152,LXV,Lake County,Non-Fatal,Substantial,Airplane,N686TM,Eclipse,EA 500,No,2,,91,,Personal,,0,0,0,1,VMC,,,
2.02012E+13,Accident,WPR21LA069,2020-12-13,"SAN DIEGO, CA",United States,32.815722,-117.13955,MYF,MONTGOMERY-GIBBS EXECUTIVE,Non-Fatal,Substantial,Airplane,N5098E,Cessna,172,No,1,,91,,Instructional,Plus One Flyers,0,0,0,2,VMC,,,
2.02012E+13,Accident,ERA21LA073,2020-12-13,"MARION, NC",United States,35.7203,-82.0141,9A9,Shiflet Field,Minor,Substantial,Airplane,N138CT,Flight Design,CTSW,No,1,,91,,Personal,,0,0,2,0,VMC,,,
2.02012E+13,Accident,ERA21LA070,2020-12-12,"NASHVILLE, TN",United States,36.047696,-86.947017,,,Minor,Substantial,Airplane,N7639P,Piper,PA24,No,1,,91,,Personal,,0,0,1,0,VMC,,,
2.02012E+13,Accident,ERA21LA071,2020-12-12,"SAN MATEO, FL",United States,29.589292,-81.569887,,,Fatal,Substantial,Gyroplane,N11TG,Anthony Mattioli,AR-1,Yes,1,,91,,Personal,,1,0,0,0,VMC,,,
2.02012E+13,Accident,ERA21LA068,2020-12-12,"Attalla, AL",United States,34.093008,-86.086574,,,Fatal,Destroyed,Airplane,N5470U,Beech,V35A,No,1,,91,,Pers,,1,0,0,0,,,,
2.02012E+13,Accident,ERA21LA074,2020-12-11,"DEXTER, ME",United States,45.004508,-69.237437,1B0,Dexter Regional Airport,Non-Fatal,Substantial,Airplane,N19801,Cessna,172,No,1,,91,,Personal,Dexter Aero Club,0,0,0,1,,,,
